date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:22:59	86309/86309	---M--	200	added ('OK')	image/jpeg	etag:%2264138fa3-15125%22	https://qantaradigital.com/images/DSC_6590.jpg	C:/My%20Web%20Sites/2peco/qantaradigital.com/images/DSC_6590.jpg	(from https://qantaradigital.com/team.html)
14:22:59	14865/14865	---MCZ	200	added ('OK')	text/html	etag:W/%2264138fa2-3a11%22	https://qantaradigital.com/collaborators/mehdi-sayegh.html	C:/My%20Web%20Sites/2peco/qantaradigital.com/collaborators/mehdi-sayegh.html	(from https://qantaradigital.com/team.html)
14:23:00	14308/14308	---MCZ	200	added ('OK')	text/html	etag:W/%2264138fa2-37e4%22	https://qantaradigital.com/collaborators/pierre-casanova.html	C:/My%20Web%20Sites/2peco/qantaradigital.com/collaborators/pierre-casanova.html	(from https://qantaradigital.com/team.html)
14:23:00	79219/79219	---M--	200	added ('OK')	image/jpeg	etag:%2264138fa6-13573%22	https://qantaradigital.com/images/Photo-CG.jpeg	C:/My%20Web%20Sites/2peco/qantaradigital.com/images/Photo-CG.jpg	(from https://qantaradigital.com/team.html)
14:23:01	14492/14492	---MCZ	200	added ('OK')	text/html	etag:W/%2264138fa2-389c%22	https://qantaradigital.com/collaborators/constance-gedon.html	C:/My%20Web%20Sites/2peco/qantaradigital.com/collaborators/constance-gedon.html	(from https://qantaradigital.com/team.html)
14:23:01	53986/53986	---M--	200	added ('OK')	image/jpeg	etag:%2264138fa4-d2e2%22	https://qantaradigital.com/images/image1-3.jpeg	C:/My%20Web%20Sites/2peco/qantaradigital.com/images/image1-3.jpg	(from https://qantaradigital.com/team.html)
14:23:01	185939/185939	---M--	200	added ('OK')	image/jpeg	etag:%2264138fa4-2d653%22	https://qantaradigital.com/images/image002.jpg	C:/My%20Web%20Sites/2peco/qantaradigital.com/images/image002.jpg	(from https://qantaradigital.com/team.html)
14:23:01	14500/14500	---MCZ	200	added ('OK')	text/html	etag:W/%2264138fa2-38a4%22	https://qantaradigital.com/collaborators/thomas-mariee.html	C:/My%20Web%20Sites/2peco/qantaradigital.com/collaborators/thomas-mariee.html	(from https://qantaradigital.com/team.html)
14:23:03	15397/15397	---MCZ	200	added ('OK')	text/html	etag:W/%2264138fa2-3c25%22	https://qantaradigital.com/collaborators/jean-baptiste-kaloya.html	C:/My%20Web%20Sites/2peco/qantaradigital.com/collaborators/jean-baptiste-kaloya.html	(from https://qantaradigital.com/team.html)
14:23:05	2793414/2793414	---M--	200	added ('OK')	image/jpeg	etag:%2264138fa7-2a9fc6%22	https://qantaradigital.com/images/photo.JPG	C:/My%20Web%20Sites/2peco/qantaradigital.com/images/photo.jpg	(from https://qantaradigital.com/team.html)
14:23:10	3803467/3803467	---M--	200	added ('OK')	image/jpeg	etag:%2264138fa5-3a094b%22	https://qantaradigital.com/images/jbksqrthd.jpg	C:/My%20Web%20Sites/2peco/qantaradigital.com/images/jbksqrthd.jpg	(from https://qantaradigital.com/team.html)
14:23:12	17486476/17486476	---M--	200	added ('OK')	video/mp4	etag:%2262036346-10ad28c%22	https://qantaradigital.com/videos/qantaraabidjan-short-transcode.mp4	C:/My%20Web%20Sites/2peco/qantaradigital.com/videos/qantaraabidjan-short-transcode.mp4	(from https://qantaradigital.com/)
